arquivo,similaridade,gabarito
Captura de Tela 2026-09-23 às 15.46.57.png,1.000000,esta
IMG_3530.JPG,0.979700,esta
IMG_3532.JPG,0.866500,esta
IMG_3654.JPG,0.863400,esta
IMG_3742.JPG,0.843600,esta
IMG_3744.JPG,0.828800,esta
IMG_3644.JPG,0.813700,esta
IMG_3637.JPG,0.798700,esta
IMG_3635.JPG,0.787000,esta
IMG_3604.JPG,0.785900,esta
IMG_3652.JPG,0.760600,esta
IMG_3726.JPG,0.732900,esta
IMG_3557.JPG,0.711900,esta
IMG_3610.JPG,0.704600,esta
IMG_3609.JPG,0.686300,esta
IMG_3605.JPG,0.653700,esta
IMG_3608.JPG,0.648100,esta
IMG_3640.JPG,0.638800,esta
IMG_3721.JPG,0.604100,esta
IMG_3701.JPG,0.603800,esta
IMG_3571.JPG,0.597200,esta
IMG_3702.JPG,0.580800,esta
IMG_3719.JPG,0.566600,esta
IMG_3679.JPG,0.563100,esta
IMG_3699.JPG,0.555400,esta
IMG_3698.JPG,0.536900,esta
IMG_3684.JPG,0.529100,esta
IMG_3682.JPG,0.523100,esta
IMG_3694.JPG,0.521500,esta
IMG_3692.JPG,0.514300,esta
IMG_3706.JPG,0.506100,esta
IMG_3711.JPG,0.506100,esta
IMG_3677.JPG,0.505500,esta
IMG_3672.JPG,0.505200,esta
IMG_3689.JPG,0.504500,esta
IMG_3695.JPG,0.504400,esta
IMG_3722.JPG,0.503100,esta
IMG_3696.JPG,0.502000,esta
IMG_3713.JPG,0.501400,esta
IMG_3686.JPG,0.499500,esta
IMG_3691.JPG,0.493400,esta
IMG_3606.JPG,0.492500,esta
IMG_3697.JPG,0.492000,esta
IMG_3602.JPG,0.489600,esta
IMG_3674.JPG,0.487100,esta
IMG_3601.JPG,0.482600,esta
IMG_3673.JPG,0.482300,esta
IMG_3717.JPG,0.482200,esta
IMG_3723.JPG,0.460300,esta
IMG_3708.JPG,0.451400,esta
IMG_3690.JPG,0.449500,esta
IMG_3709.JPG,0.439300,esta
IMG_3715.JPG,0.424900,esta
IMG_3618.JPG,0.410500,esta
IMG_3703.JPG,0.407300,esta
IMG_3693.JPG,0.401500,esta
IMG_3704.JPG,0.399900,esta
IMG_3683.JPG,0.355500,esta
IMG_3678.JPG,0.328700,esta
IMG_3555.JPG,0.278300,nao_esta
IMG_3629.JPG,0.274600,esta
IMG_3151.JPG,0.264100,nao_esta
IMG_3671.JPG,0.261200,esta
IMG_3150.JPG,0.242800,nao_esta
IMG_3086.JPG,0.207300,nao_esta
IMG_3115.JPG,0.205800,nao_esta
IMG_3544.JPG,0.205800,nao_esta
IMG_3566.JPG,0.195200,nao_esta
IMG_3669.JPG,0.194700,esta
IMG_3174.JPG,0.189900,nao_esta
IMG_3140.JPG,0.186700,nao_esta
IMG_3012.JPG,0.185900,nao_esta
IMG_3128.JPG,0.184300,nao_esta
IMG_3028.JPG,0.183300,nao_esta
IMG_3062.JPG,0.182300,nao_esta
IMG_3148.JPG,0.181800,nao_esta
IMG_3103.JPG,0.179900,nao_esta
IMG_3209.JPG,0.179900,nao_esta
IMG_3756.JPG,0.179700,nao_esta
IMG_3211.JPG,0.178100,nao_esta
IMG_3015.JPG,0.176400,nao_esta
IMG_3189.JPG,0.175700,nao_esta
IMG_3569.JPG,0.174200,nao_esta
IMG_3641.JPG,0.173700,nao_esta
IMG_3104.JPG,0.173200,nao_esta
IMG_2997.JPG,0.170200,nao_esta
IMG_3164.JPG,0.169400,nao_esta
IMG_3131.JPG,0.169100,nao_esta
IMG_3745.JPG,0.167700,nao_esta
IMG_3752.JPG,0.167500,nao_esta
IMG_3228.JPG,0.165600,nao_esta
IMG_3005.JPG,0.161700,nao_esta
IMG_3750.JPG,0.161600,nao_esta
IMG_2983.JPG,0.161300,nao_esta
IMG_3094.JPG,0.161100,nao_esta
IMG_3122.JPG,0.160700,nao_esta
IMG_2984.JPG,0.160400,nao_esta
IMG_2992.JPG,0.159900,nao_esta
IMG_3027.JPG,0.159800,nao_esta
IMG_3226.JPG,0.158200,nao_esta
IMG_3101.JPG,0.157500,nao_esta
IMG_3578.JPG,0.156300,nao_esta
IMG_3162.JPG,0.155600,nao_esta
IMG_3206.JPG,0.152500,nao_esta
IMG_3627.JPG,0.151300,nao_esta
IMG_3160.JPG,0.151200,nao_esta
IMG_3533.JPG,0.150900,nao_esta
IMG_3024.JPG,0.149400,nao_esta
IMG_3647.JPG,0.148800,nao_esta
IMG_3540.JPG,0.148500,nao_esta
IMG_3106.JPG,0.148000,nao_esta
IMG_3020.JPG,0.146900,nao_esta
IMG_3539.JPG,0.146000,nao_esta
IMG_3642.JPG,0.145400,nao_esta
IMG_3551.JPG,0.144400,nao_esta
IMG_3621.JPG,0.144000,nao_esta
IMG_2993.JPG,0.141500,nao_esta
IMG_2996.JPG,0.140500,nao_esta
IMG_3129.JPG,0.140400,nao_esta
IMG_3731.JPG,0.139500,nao_esta
IMG_3077.JPG,0.139400,nao_esta
IMG_3550.JPG,0.139000,nao_esta
IMG_1128.JPG,0.138900,nao_esta
IMG_3728.JPG,0.138900,nao_esta
IMG_3649.JPG,0.138700,nao_esta
IMG_2985.JPG,0.138300,nao_esta
IMG_3734.JPG,0.138300,nao_esta
IMG_3593.JPG,0.137900,nao_esta
IMG_3169.JPG,0.137400,nao_esta
IMG_3043.JPG,0.135700,nao_esta
IMG_3543.JPG,0.135600,nao_esta
IMG_3232.JPG,0.134500,nao_esta
IMG_3144.JPG,0.133900,nao_esta
IMG_3021.JPG,0.133800,nao_esta
IMG_3084.JPG,0.133200,nao_esta
IMG_3746.JPG,0.132700,nao_esta
IMG_3041.JPG,0.132400,nao_esta
IMG_3045.JPG,0.131400,nao_esta
IMG_3120.JPG,0.131400,nao_esta
IMG_3581.JPG,0.130900,nao_esta
IMG_3182.JPG,0.129400,nao_esta
IMG_3676.JPG,0.128900,rosto_errado
IMG_3612.JPG,0.128500,nao_esta
IMG_3547.JPG,0.127900,nao_esta
IMG_3023.JPG,0.127800,nao_esta
IMG_3000.JPG,0.127100,nao_esta
IMG_3201.JPG,0.126700,nao_esta
IMG_3754.JPG,0.125200,nao_esta
IMG_3700.JPG,0.124700,rosto_errado
IMG_3552.JPG,0.124200,nao_esta
IMG_3542.JPG,0.122800,nao_esta
IMG_3546.JPG,0.122800,nao_esta
IMG_3123.JPG,0.122100,nao_esta
IMG_3064.JPG,0.121800,nao_esta
IMG_3213.JPG,0.121700,nao_esta
IMG_3013.JPG,0.120500,nao_esta
IMG_3126.JPG,0.120200,nao_esta
IMG_3155.JPG,0.119600,nao_esta
IMG_3141.JPG,0.119300,nao_esta
IMG_3183.JPG,0.118400,nao_esta
IMG_3149.JPG,0.118200,nao_esta
IMG_3018.JPG,0.118100,nao_esta
IMG_3199.JPG,0.117200,nao_esta
IMG_3053.JPG,0.116800,nao_esta
IMG_3592.JPG,0.116700,nao_esta
IMG_3040.JPG,0.116500,nao_esta
IMG_3586.JPG,0.115600,nao_esta
IMG_3549.JPG,0.115400,nao_esta
IMG_3156.JPG,0.114700,nao_esta
IMG_3025.JPG,0.114300,nao_esta
IMG_3130.JPG,0.114100,nao_esta
IMG_3125.JPG,0.112800,nao_esta
IMG_3154.JPG,0.112500,nao_esta
IMG_3065.JPG,0.112400,nao_esta
IMG_3085.JPG,0.112000,nao_esta
IMG_3146.JPG,0.111300,nao_esta
IMG_3196.JPG,0.110800,nao_esta
IMG_3042.JPG,0.110700,nao_esta
IMG_3006.JPG,0.110500,nao_esta
IMG_3143.JPG,0.110400,nao_esta
IMG_3102.JPG,0.110100,nao_esta
IMG_2998.JPG,0.108600,nao_esta
IMG_3737.JPG,0.108400,nao_esta
IMG_3624.JPG,0.108200,nao_esta
IMG_3620.JPG,0.108100,nao_esta
IMG_3019.JPG,0.106600,nao_esta
IMG_3733.JPG,0.106500,nao_esta
IMG_3191.JPG,0.106400,nao_esta
IMG_3584.JPG,0.106300,nao_esta
IMG_3176.JPG,0.105100,nao_esta
